0	5.384171	-4.136614	-176.606110	500388.454941	4479963.316795	221.472289
1	2.305736	-3.491795	-176.385816	500388.444740	4479960.844675	221.407247
2	0.467787	-4.717276	-176.670785	500388.416751	4479957.791564	221.351084
3	1.340785	-2.310260	-177.103810	500388.308156	4479954.714057	221.210699
4	3.780342	-6.025314	-176.840972	500388.453143	4479951.878602	221.127413
5	-0.552869	-5.258198	-177.213692	500388.514716	4479948.781062	221.040111
6	-0.856961	-4.827617	-177.453426	500388.541364	4479945.611348	220.949254
7	0.664426	-3.676595	-177.316696	500388.513333	4479942.589994	220.851058
8	1.444103	-5.471619	-177.577113	500388.603454	4479939.829242	220.785297
9	4.565873	-4.343216	-177.791181	500388.603980	4479937.077732	220.714180
10	4.922552	-4.053111	-177.518003	500388.587107	4479934.080814	220.670928
11	5.067935	-0.949332	-177.808013	500388.363697	4479931.053100	220.575144
12	-2.549641	-4.302308	-178.332933	500388.545254	4479927.533576	220.498869
13	5.082422	-2.347877	-177.713223	500388.487843	4479924.758668	220.439259
14	4.275029	-4.636863	-177.805746	500388.522975	4479921.953855	220.436484
15	3.547883	-1.948196	-178.124196	500388.439164	4479918.751102	220.383215
16	0.603900	-2.436521	-178.461555	500388.557167	4479915.483624	220.333888
17	2.310505	-3.116296	-178.506007	500388.561290	4479912.712171	220.232490
18	2.733273	-2.942374	-178.969943	500388.615653	4479909.458679	220.234319
19	-4.949368	-5.122480	-178.745741	500388.686581	4479906.073575	220.350685
20	-0.706569	-4.397896	-178.790177	500388.698373	4479903.911688	220.369441
21	2.515683	-5.051296	-178.331088	500388.687056	4479901.887738	220.448218
22	-4.900499	-5.475457	-178.690365	500388.644393	4479899.495490	220.526464
23	-1.280326	-5.898534	-165.530871	500388.604162	4479898.635699	220.479255
24	-3.598949	-1.748369	-24.327803	500388.755176	4479898.390191	220.441669
25	-15.382500	-6.694819	4.202933	500389.184544	4479898.466479	220.444578
26	-5.981807	-3.252897	4.625434	500388.852399	4479901.266093	220.558066
27	-4.498353	-2.344126	4.407326	500388.464478	4479904.876213	220.542327
28	-5.349398	-4.825725	4.382298	500388.454435	4479908.398291	220.476591
29	-0.644146	-3.941518	4.257737	500388.610925	4479911.797741	220.445117
30	-4.290309	-2.847829	3.915587	500388.411641	4479914.598457	220.496141
31	-5.863109	-1.824731	4.073052	500388.269652	4479917.288683	220.602185
32	-3.891538	-1.945761	4.080828	500388.303864	4479920.253804	220.724248
33	-6.174781	-3.152533	4.032377	500388.308983	4479923.319582	220.892428
34	-5.342814	-2.842159	3.840468	500388.247892	4479926.350818	220.920895
35	-6.015458	-3.275253	3.751398	500388.293136	4479929.305635	221.035593
36	-6.238866	-3.669687	3.771235	500388.367543	4479932.173057	221.116870
37	-5.671060	-3.757333	3.861325	500388.468466	4479935.249655	221.192264
38	-4.733206	-4.407860	4.327738	500388.577433	4479938.355018	221.279839
39	-5.829396	-4.868714	4.066001	500388.637112	4479941.264701	221.336007
40	-5.592093	-3.699354	3.885705	500388.595633	4479944.357530	221.365556
41	-6.081892	-4.932192	3.795326	500388.590719	4479947.359306	221.404635
42	-6.610505	-4.662477	3.745331	500388.606772	4479950.208889	221.492211
43	-6.156918	-5.229805	3.750043	500388.678985	4479953.240230	221.501978
44	-4.651425	-4.563882	3.681487	500388.625523	4479956.047138	221.489312
45	-5.138289	-4.132880	3.520253	500388.570976	4479958.412938	221.456455
46	-6.432508	-4.762852	3.630499	500388.616458	4479960.788047	221.406584
47	3.708831	-4.141316	4.025767	500388.651098	4479963.268228	221.408855
48	-3.635325	-4.132274	-20.373481	500388.899656	4479963.838852	221.281446
49	-1.067355	4.400975	-86.926846	500389.454574	4479964.030911	221.180868
